,time_ind,signal,detected_offline,detected_value_rt,flag,first_detection_time
7682,17683,296.760683191951,0.0,0.012847222222222223,False,
7683,17684,296.757032650257,0.0,0.01111111111111111,False,
7684,17685,296.753366064025,0.0,0.008333333333333333,False,
7685,17686,296.749686051601,0.0,0.0034722222222222225,False,
7686,17687,296.745995138889,0.0,0.002430555555555555,False,
7687,17688,296.74229576184,0.0,0.002430555555555555,False,
7688,17689,296.738590268879,0.0,0.0013888888888888887,False,
7689,17690,296.734880923282,0.0,0.0013888888888888887,False,
7690,17691,296.731169905485,0.0,0.0006944444444444444,False,
7691,17692,296.727459315347,0.0,0.0,False,
7692,17693,296.723751174361,0.0,0.0,False,
7693,17694,296.720047427802,0.0,0.0,False,
7694,17695,296.716349946836,0.0,0.0,False,
7695,17696,296.712660530569,0.0,0.0,False,
7696,17697,296.70898090805,0.0,0.0,False,
7697,17698,296.705312740226,0.0,0.0,False,
7698,17699,296.701657621849,0.0,0.0,False,
7699,17700,296.698017083338,0.0,0.0,False,
7700,17701,296.694392592591,0.0,0.0,False,
7701,17702,296.69078555676,0.0,0.0,False,
7702,17703,296.687197323972,0.0,0.0,False,
7703,17704,296.683629185022,0.0,0.0,False,
7704,17705,296.680082375007,0.0,0.0,False,
7705,17706,296.676558074937,0.0,0.0,False,
7706,17707,296.673057413291,0.0,0.0,False,
7707,17708,296.669581467542,0.0,0.0,False,
7708,17709,296.666131265646,0.0,0.0,False,
7709,17710,296.662707787487,0.0,0.0,False,
7710,17711,296.659311966288,0.0,0.0,False,
7711,17712,296.655944689991,0.0,0.0,False,
7712,17713,296.652606802597,0.0,0.0,False,
7713,17714,296.649299105473,0.0,0.0,False,
7714,17715,296.646022358625,0.0,0.0,False,
7715,17716,296.642777281946,0.0,0.0,False,
7716,17717,296.639564556421,0.0,0.0,False,
7717,17718,296.636384825306,0.0,0.0,False,
7718,17719,296.633238695282,0.0,0.0,False,
7719,17720,296.630126737572,0.0,0.0,False,
7720,17721,296.627049489031,0.0,0.0,False,
7721,17722,296.624007453212,0.0,0.0,False,
7722,17723,296.621001101396,0.0,0.0,False,
7723,17724,296.618030873607,0.0,0.0,False,
7724,17725,296.615097179591,0.0,0.0,False,
7725,17726,296.61220039977,0.0,0.0,False,
7726,17727,296.609340886178,0.0,0.0,False,
7727,17728,296.606518963369,0.0,0.0,False,
7728,17729,296.603734929294,0.0,0.0,False,
7729,17730,296.60098905617,0.0,0.0,False,
7730,17731,296.59828159131,0.0,0.0,False,
7731,17732,296.595612757943,0.0,0.0,False,
7732,17733,296.592982756008,0.0,0.0,False,
7733,17734,296.590391762923,0.0,0.0,False,
7734,17735,296.587839934341,0.0,0.0,False,
7735,17736,296.585327404881,0.0,0.0,False,
7736,17737,296.582854288841,0.0,0.0,False,
7737,17738,296.58042068089,0.0,0.0,False,
7738,17739,296.578026656744,0.0,0.0,False,
7739,17740,296.575672273823,0.0,0.0,False,
7740,17741,296.573357571891,0.0,0.0,False,
7741,17742,296.571082573674,0.0,0.0,False,
7742,17743,296.568847285468,0.0,0.0,False,
7743,17744,296.566651697726,0.0,0.0,False,
7744,17745,296.564495785632,0.0,0.0,False,
7745,17746,296.562379509654,0.0,0.0,False,
7746,17747,296.560302816089,0.0,0.0,False,
7747,17748,296.558265637589,0.0,0.0,False,
7748,17749,296.556267893671,0.0,0.0,False,
7749,17750,296.554309491214,0.0,0.0,False,
7750,17751,296.552390324949,0.0,0.0,False,
7751,17752,296.55051027792,0.0,0.0,False,
7752,17753,296.548669221951,0.0,0.0,False,
7753,17754,296.546867018083,0.0,0.0,False,
7754,17755,296.545103517013,0.0,0.0,False,
7755,17756,296.543378559506,0.0,0.0,False,
7756,17757,296.54169197681,0.0,0.0,False,
7757,17758,296.540043591049,0.0,0.0,False,
7758,17759,296.538433215608,0.0,0.0,False,
7759,17760,296.53686065551,0.0,0.0,False,
7760,17761,296.535325707777,0.0,0.0,False,
7761,17762,296.533828161784,0.0,0.0,False,
7762,17763,296.532367799601,0.0,0.0,False,
7763,17764,296.530944396328,0.0,0.0,False,
7764,17765,296.529557720416,0.0,0.0,False,
7765,17766,296.528207533983,0.0,0.0,False,
7766,17767,296.526893593119,0.0,0.0,False,
7767,17768,296.525615648177,0.0,0.0,False,
7768,17769,296.524373444068,0.0,0.0,False,
7769,17770,296.523166720533,0.0,0.0,False,
7770,17771,296.521995212415,0.0,0.0,False,
7771,17772,296.520858649924,0.0,0.0,False,
7772,17773,296.519756758888,0.0,0.0,False,
7773,17774,296.518689261003,0.0,0.0,False,
7774,17775,296.517655874068,0.0,0.0,False,
7775,17776,296.516656312221,0.0,0.0,False,
7776,17777,296.515690286162,0.0,0.0,False,
7777,17778,296.514757503372,0.0,0.0,False,
7778,17779,296.513857668324,0.0,0.0,False,
7779,17780,296.512990482687,0.0,0.0,False,
7780,17781,296.512155645527,0.0,0.0,False,
7781,17782,296.511352853495,0.0,0.0,False,
7782,17783,296.510581801017,0.0,0.0,False,
7783,17784,296.509842180474,0.0,0.0,False,
7784,17785,296.509133682375,0.0,0.0,False,
7785,17786,296.508455995526,0.0,0.0,False,
7786,17787,296.507808807196,0.0,0.0,False,
7787,17788,296.507191803273,0.0,0.0,False,
7788,17789,296.506604668416,0.0,0.0,False,
7789,17790,296.506047086207,0.0,0.0,False,
7790,17791,296.505518739294,0.0,0.0,False,
7791,17792,296.505019309524,0.0,0.0,False,
7792,17793,296.504548478083,0.0,0.0,False,
7793,17794,296.504105925623,0.0,0.0,False,
7794,17795,296.503691332387,0.0,0.0,False,
7795,17796,296.50330437833,0.0,0.0,False,
7796,17797,296.502944743235,0.0,0.0,False,
7797,17798,296.502612106828,0.0,0.0,False,
7798,17799,296.502306148882,0.0,0.0,False,
7799,17800,296.502026549328,0.0,0.0,False,
7800,17801,296.501772988349,0.010416666666666666,0.0,False,
7801,17802,296.501545146484,0.010416666666666666,0.0,False,
7802,17803,296.501342704719,0.020833333333333332,0.0,False,
7803,17804,296.501165344577,0.020833333333333332,0.0,False,
7804,17805,296.501012748205,0.03125,0.0,False,
7805,17806,296.500884598461,0.03125,0.0,False,
7806,17807,296.500780578991,0.03125,0.0,False,
7807,17808,296.50070037431,0.03125,0.0,False,
7808,17809,296.500643669874,0.041666666666666664,0.0,False,
7809,17810,296.500610152154,0.041666666666666664,0.0,False,
7810,17811,296.500599508704,0.07291666666666667,0.0,False,
7811,17812,296.500611428227,0.07291666666666667,0.0,False,
7812,17813,296.500645600639,0.08333333333333333,0.0,False,
7813,17814,296.500701717132,0.10416666666666667,0.0,False,
7814,17815,296.500779470228,0.10416666666666667,0.0,False,
7815,17816,296.500878553841,0.10416666666666667,0.0,False,
7816,17817,296.500998663325,0.10416666666666667,0.0,False,
