T1,Q1,AT1,I1,V1
292.15,2.40552412261334,0,15,-3.83055835207503
292.15,2.40531737481908,0,15,-3.83059534164761
292.15,2.40511075877947,0,15,-3.83063232397446
292.15,2.40490427273221,0,15,-3.83066929915508
292.15,2.40469791493922,0,15,-3.8307062672876
292.15,2.40449168368633,0,15,-3.83074322846881
292.15,2.40428557728293,0,15,-3.83078018279419
292.15,2.4040795940617,0,15,-3.83081713035789
292.15,2.40387373237826,0,15,-3.83085407125277
292.15,2.40366799061081,0,15,-3.83089100557043
292.15,2.40346236715988,0,15,-3.8309279334012
292.15,2.40325686044804,0,15,-3.83096485483416
292.15,2.4030514689195,0,15,-3.83100176995718
292.15,2.40284619103991,0,15,-3.83103867885692
292.15,2.40264102529608,0,15,-3.83107558161881
292.15,2.40243597019554,0,15,-3.83111247832716
292.15,2.40223102426646,0,15,-3.83114936906507
292.15,2.40202618605716,0,15,-3.83118625391452
292.15,2.40182145413598,0,15,-3.83122313295633
292.15,2.401616827091,0,15,-3.83126000627023
292.15,2.4014123035297,0,15,-3.83129687393482
